,0
E78.5,"['Hyperlipidemia, unspecified']"
E11.9,['Type 2 diabetes mellitus without complications']
K21.9,['Gastro-esophageal reflux disease without esophagitis']
F32.9,"['Major depressive disorder, single episode, unspecified']"
Z79.899,['Other long term (current) drug therapy']
I25.10,['Atherosclerotic heart disease of native coronary artery without angina pectoris']
E03.9,"['Hypothyroidism, unspecified']"
F41.9,"['Anxiety disorder, unspecified']"
250.00,"['Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled']"
G89.29,['Other chronic pain']
Z00.00,['Encounter for general adult medical examination without abnormal findings']
R05,['Cough']
M54.5,['Low back pain']
G47.33,['Obstructive sleep apnea (adult) (pediatric)']
J45.909,"['Unspecified asthma, uncomplicated']"
E66.9,"['Obesity, unspecified']"
D64.9,"['Anemia, unspecified']"
I48.91,['Unspecified atrial fibrillation']
R07.9,"['Chest pain, unspecified']"
Z98.890,['Other specified postprocedural states']
Z87.891,['Personal history of nicotine dependence']
J44.9,"['Chronic obstructive pulmonary disease, unspecified']"
E55.9,"['Vitamin D deficiency, unspecified']"
R06.02,['Shortness of breath']
Z79.01,['Long term (current) use of anticoagulants']
R10.9,['Unspecified abdominal pain']
530.81,['Esophageal reflux']
N18.6,['End stage renal disease']
N39.0,"['Urinary tract infection, site not specified']"
E66.01,['Morbid (severe) obesity due to excess calories']
Z79.4,['Long term (current) use of insulin']
311,"['Depressive disorder, not elsewhere classified']"
M19.90,"['Unspecified osteoarthritis, unspecified site']"
Z01.818,['Encounter for other preprocedural examination']
V70.0,['Routine general medical examination at a health care facility']
E78.00,"['Pure hypercholesterolemia, unspecified']"
244.9,['Unspecified acquired hypothyroidism']
N17.9,"['Acute kidney failure, unspecified']"
I50.9,"['Heart failure, unspecified']"
M54.2,['Cervicalgia']
R53.83,['Other fatigue']
R51,['Headache']
724.2,['Lumbago']
427.31,['Atrial fibrillation']
N18.3,"['Chronic kidney disease, stage 3 (moderate)']"
E11.65,['Type 2 diabetes mellitus with hyperglycemia']
I48.0,['Paroxysmal atrial fibrillation']
R19.7,"['Diarrhea, unspecified']"
Z51.81,['Encounter for therapeutic drug level monitoring']
F41.1,['Generalized anxiety disorder']
E78.2,['Mixed hyperlipidemia']
M54.9,"['Dorsalgia, unspecified']"
R50.9,"['Fever, unspecified']"
300.00,"['Anxiety state, unspecified']"
Z12.31,['Encounter for screening mammogram for malignant neoplasm of breast']
786.2,['Cough']
K59.00,"['Constipation, unspecified']"
Z79.82,['Long term (current) use of aspirin']
R42,['Dizziness and giddiness']
R11.2,"['Nausea with vomiting, unspecified']"
J06.9,"['Acute upper respiratory infection, unspecified']"
729.5,['Pain in limb']
Z94.0,['Kidney transplant status']
F17.210,"['Nicotine dependence, cigarettes, uncomplicated']"
M25.561,['Pain in right knee']
J02.9,"['Acute pharyngitis, unspecified']"
J18.9,"['Pneumonia, unspecified organism']"
N18.9,"['Chronic kidney disease, unspecified']"
719.46,"['Pain in joint, lower leg']"
F17.200,"['Nicotine dependence, unspecified, uncomplicated']"
786.50,"['Chest pain, unspecified']"
Z11.59,['Encounter for screening for other viral diseases']
R07.89,['Other chest pain']
G47.00,"['Insomnia, unspecified']"
M81.0,['Age-related osteoporosis without current pathological fracture']
R91.8,['Other nonspecific abnormal finding of lung field']
J30.9,"['Allergic rhinitis, unspecified']"
M25.562,['Pain in left knee']
R79.89,['Other specified abnormal findings of blood chemistry']
E87.6,['Hypokalemia']
E11.22,['Type 2 diabetes mellitus with diabetic chronic kidney disease']
