,0
U07.1,['COVID-19']
E11.9,['Type 2 diabetes mellitus without complications']
E78.5,"['Hyperlipidemia, unspecified']"
K21.9,['Gastro-esophageal reflux disease without esophagitis']
R05,['Cough']
Z79.899,['Other long term (current) drug therapy']
I25.10,['Atherosclerotic heart disease of native coronary artery without angina pectoris']
Z00.00,['Encounter for general adult medical examination without abnormal findings']
E03.9,"['Hypothyroidism, unspecified']"
250.00,"['Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled']"
F41.9,"['Anxiety disorder, unspecified']"
F32.9,"['Major depressive disorder, single episode, unspecified']"
D64.9,"['Anemia, unspecified']"
R06.02,['Shortness of breath']
E66.01,['Morbid (severe) obesity due to excess calories']
E55.9,"['Vitamin D deficiency, unspecified']"
G89.29,['Other chronic pain']
G47.33,['Obstructive sleep apnea (adult) (pediatric)']
E66.9,"['Obesity, unspecified']"
R07.9,"['Chest pain, unspecified']"
Z79.4,['Long term (current) use of insulin']
E78.2,['Mixed hyperlipidemia']
R50.9,"['Fever, unspecified']"
M54.5,['Low back pain']
786.2,['Cough']
N18.6,['End stage renal disease']
I48.91,['Unspecified atrial fibrillation']
N39.0,"['Urinary tract infection, site not specified']"
E11.65,['Type 2 diabetes mellitus with hyperglycemia']
J44.9,"['Chronic obstructive pulmonary disease, unspecified']"
J45.909,"['Unspecified asthma, uncomplicated']"
Z87.891,['Personal history of nicotine dependence']
E78.00,"['Pure hypercholesterolemia, unspecified']"
R10.9,['Unspecified abdominal pain']
Z79.01,['Long term (current) use of anticoagulants']
Z12.31,['Encounter for screening mammogram for malignant neoplasm of breast']
N17.9,"['Acute kidney failure, unspecified']"
J06.9,"['Acute upper respiratory infection, unspecified']"
530.81,['Esophageal reflux']
Z98.890,['Other specified postprocedural states']
J18.9,"['Pneumonia, unspecified organism']"
I50.9,"['Heart failure, unspecified']"
R91.8,['Other nonspecific abnormal finding of lung field']
Z94.0,['Kidney transplant status']
R53.83,['Other fatigue']
N18.3,"['Chronic kidney disease, stage 3 (moderate)']"
R51,['Headache']
V70.0,['Routine general medical examination at a health care facility']
R19.7,"['Diarrhea, unspecified']"
272.2,['Mixed hyperlipidemia']
I48.0,['Paroxysmal atrial fibrillation']
J96.01,['Acute respiratory failure with hypoxia']
R94.31,['Abnormal electrocardiogram [ECG] [EKG]']
Z01.818,['Encounter for other preprocedural examination']
J02.9,"['Acute pharyngitis, unspecified']"
M19.90,"['Unspecified osteoarthritis, unspecified site']"
F41.1,['Generalized anxiety disorder']
K59.00,"['Constipation, unspecified']"
E11.22,['Type 2 diabetes mellitus with diabetic chronic kidney disease']
R42,['Dizziness and giddiness']
M54.2,['Cervicalgia']
786.05,['Shortness of breath']
Z01.419,['Encounter for gynecological examination (general) (routine) without abnormal findings']
J12.89,['Other viral pneumonia']
244.9,['Unspecified acquired hypothyroidism']
427.31,['Atrial fibrillation']
N18.9,"['Chronic kidney disease, unspecified']"
R07.89,['Other chest pain']
M25.561,['Pain in right knee']
311,"['Depressive disorder, not elsewhere classified']"
724.2,['Lumbago']
285.9,"['Anemia, unspecified']"
Z11.59,['Encounter for screening for other viral diseases']
278.00,"['Obesity, unspecified']"
R00.0,"['Tachycardia, unspecified']"
786.50,"['Chest pain, unspecified']"
729.5,['Pain in limb']
Z79.82,['Long term (current) use of aspirin']
R11.2,"['Nausea with vomiting, unspecified']"
R79.89,['Other specified abnormal findings of blood chemistry']
272.0,['Pure hypercholesterolemia']
M25.562,['Pain in left knee']
E87.6,['Hypokalemia']
M54.9,"['Dorsalgia, unspecified']"
278.01,['Morbid obesity']
719.46,"['Pain in joint, lower leg']"
300.00,"['Anxiety state, unspecified']"
Z12.11,['Encounter for screening for malignant neoplasm of colon']
599.0,"['Urinary tract infection, site not specified']"
V76.12,['Other screening mammogram']
R68.89,['Other general symptoms and signs']
A41.9,"['Sepsis, unspecified organism']"
R06.00,"['Dyspnea, unspecified']"
D50.9,"['Iron deficiency anemia, unspecified']"
G47.00,"['Insomnia, unspecified']"
R53.1,['Weakness']
J30.9,"['Allergic rhinitis, unspecified']"
R09.02,['Hypoxemia']
R60.0,['Localized edema']
F17.210,"['Nicotine dependence, cigarettes, uncomplicated']"
Z51.81,['Encounter for therapeutic drug level monitoring']
V58.61,['Long-term (current) use of anticoagulants']
M81.0,['Age-related osteoporosis without current pathological fracture']
M54.16,"['Radiculopathy, lumbar region']"
I73.9,"['Peripheral vascular disease, unspecified']"
Z99.2,['Dependence on renal dialysis']
D63.1,['Anemia in chronic kidney disease']
789.00,"['Abdominal pain, unspecified site']"
N40.0,['Benign prostatic hyperplasia without lower urinary tract symptoms']
R11.0,['Nausea']
R00.2,['Palpitations']
R73.03,['Prediabetes']
R53.81,['Other malaise']
M62.81,['Muscle weakness (generalized)']
Z01.89,['Encounter for other specified special examinations']
R55,['Syncope and collapse']
Z00.129,['Encounter for routine child health examination without abnormal findings']
M25.511,['Pain in right shoulder']
G47.30,"['Sleep apnea, unspecified']"
R13.10,"['Dysphagia, unspecified']"
Z09,['Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm']
327.23,['Obstructive sleep apnea (adult)(pediatric)']
E11.42,['Type 2 diabetes mellitus with diabetic polyneuropathy']
R56.9,['Unspecified convulsions']
Z86.73,"['Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits']"
R35.0,['Frequency of micturition']
N20.0,['Calculus of kidney']
E87.1,['Hypo-osmolality and hyponatremia']
E87.5,['Hyperkalemia']
E86.0,['Dehydration']
R73.9,"['Hyperglycemia, unspecified']"
Z11.3,['Encounter for screening for infections with a predominantly sexual mode of transmission']
R30.0,['Dysuria']
268.9,['Unspecified vitamin D deficiency']
Z12.39,['Encounter for other screening for malignant neoplasm of breast']
R52,"['Pain, unspecified']"
338.29,['Other chronic pain']
I51.7,['Cardiomegaly']
F03.90,['Unspecified dementia without behavioral disturbance']
D69.6,"['Thrombocytopenia, unspecified']"
E87.2,['Acidosis']
N40.1,['Benign prostatic hyperplasia with lower urinary tract symptoms']
E11.8,['Type 2 diabetes mellitus with unspecified complications']
465.9,['Acute upper respiratory infections of unspecified site']
G62.9,"['Polyneuropathy, unspecified']"
R10.13,['Epigastric pain']
V42.0,['Kidney replaced by transplant']
F17.200,"['Nicotine dependence, unspecified, uncomplicated']"
M25.512,['Pain in left shoulder']
R21,['Rash and other nonspecific skin eruption']
J98.8,['Other specified respiratory disorders']
305.1,['Tobacco use disorder']
414.00,"['Coronary atherosclerosis of unspecified type of vessel, native or graft']"
E11.40,"['Type 2 diabetes mellitus with diabetic neuropathy, unspecified']"
M79.7,['Fibromyalgia']
G40.909,"['Epilepsy, unspecified, not intractable, without status epilepticus']"
719.41,"['Pain in joint, shoulder region']"
723.1,['Cervicalgia']
I50.32,['Chronic diastolic (congestive) heart failure']
I63.9,"['Cerebral infarction, unspecified']"
