,code,counts
1605,161,283886.0
2852,9863,203366.0
2767,8591,119688.0
5,161,89981.0
2257,435,84444.0
1937,26225,81311.0
2637,7804,71450.0
2719,83367,57748.0
2352,5489,56370.0
1832,221147,55992.0
2459,6387,54624.0
2703,82003,53633.0
1437,1191,52304.0
2221,41126,52056.0
457,9863,49710.0
2488,67108,48302.0
1687,1901,48256.0
1418,114202,46343.0
2529,6918,45310.0
2216,40790,43229.0
2769,86009,43084.0
2281,4603,42694.0
1652,17767,42616.0
2339,5224,40897.0
2778,8640,38133.0
2327,5032,37832.0
1984,29046,37754.0
2311,4850,37319.0
2523,6902,36361.0
1354,10582,36357.0
2113,3498,33404.0
2367,5640,32002.0
2154,36387,31935.0
2793,8782,31803.0
1915,25480,31210.0
1670,18631,30538.0
410,8591,28816.0
2256,4337,28328.0
2564,723,28228.0
2095,3423,27153.0
1362,10689,26787.0
2497,6809,26633.0
2351,5487,26217.0
2469,6470,25357.0
2308,4832,23637.0
2337,52175,23453.0
16,435,23281.0
609,26225,23013.0
2058,3264,22037.0
2546,7052,21986.0
2333,51428,21927.0
2250,4278,21135.0
1748,20352,21076.0
2156,3640,20608.0
2627,7646,20508.0
1686,18993,20283.0
1957,274783,19510.0
2558,7213,19166.0
373,7804,19071.0
2064,3289,18622.0
902,221147,18200.0
1943,2670,18118.0
1414,11289,17959.0
2140,35827,17914.0
243,5489,17912.0
829,82003,17791.0
2306,48203,17777.0
1772,20610,16996.0
39,1191,16986.0
1397,11124,16728.0
1583,1596,16591.0
2209,4018,16329.0
2350,5470,16159.0
2533,6960,15658.0
2264,4450,15651.0
1826,21949,15555.0
2175,37617,15482.0
2720,8339,15380.0
2353,5492,15375.0
286,6387,15190.0
1378,10829,15040.0
1916,2551,14429.0
788,67108,14358.0
2850,9796,14287.0
2475,6581,14219.0
2159,36437,14190.0
1320,10180,14175.0
2530,6922,14160.0
833,83367,14034.0
1824,2193,13561.0
713,41126,12880.0
490,10582,12831.0
678,36387,12760.0
2231,42316,12721.0
2399,596,12711.0
2632,77492,12532.0
218,4603,12508.0
2237,42372,12488.0
712,40790,12441.0
235,5032,12428.0
2068,32968,12421.0
2163,36567,12333.0
2276,4511,12151.0
838,86009,12140.0
328,6918,12115.0
2789,8745,12079.0
1867,2358,11932.0
2799,88249,11718.0
2332,51272,11701.0
2043,321988,11666.0
1685,1897,11595.0
2707,828529,11499.0
2786,8704,11499.0
2164,36676,11318.0
539,17767,11142.0
2077,3355,10951.0
238,5224,10737.0
2198,3992,10582.0
75,1901,10497.0
226,4850,10429.0
2501,68139,10389.0
619,29046,10281.0
2574,72625,10255.0
1368,10759,10212.0
2619,7597,10040.0
856,114202,10029.0
1889,2418,10014.0
161,3423,9831.0
1910,253182,9815.0
2477,6585,9761.0
324,6902,9744.0
2239,42463,9735.0
542,18631,9655.0
2704,82122,9611.0
417,8640,9597.0
2203,39993,9576.0
1933,2599,9567.0
1661,1815,9551.0
2234,42347,9550.0
1492,1364430,9484.0
167,3498,9436.0
2228,41493,9417.0
1923,2582,9273.0
200,4337,9202.0
2605,7454,9175.0
2443,6218,9083.0
2573,7258,8974.0
427,8782,8973.0
2007,301542,8939.0
607,25480,8885.0
2527,6915,8861.0
2360,5521,8819.0
1722,19831,8778.0
1816,2180,8757.0
2424,612,8755.0
1835,2231,8704.0
1366,10737,8693.0
253,5640,8669.0
2335,519,8472.0
290,6470,8195.0
1679,187832,8089.0
1420,114477,8046.0
2437,6185,8025.0
2512,6845,7958.0
2144,36117,7955.0
224,4832,7938.0
1983,28889,7815.0
2599,7417,7778.0
2364,5553,7763.0
2106,3443,7546.0
338,7052,7349.0
2316,4917,7293.0
2071,3322,7232.0
749,51428,7191.0
1972,283742,7130.0
2476,6582,7105.0
2862,9997,7062.0
2063,3288,7059.0
2572,725,7000.0
1932,2598,6924.0
1873,236719,6881.0
2474,6579,6813.0
30,723,6711.0
1429,1151,6683.0
2368,56443,6648.0
175,3640,6647.0
2197,39786,6639.0
496,10689,6617.0
2168,36721,6570.0
546,18993,6528.0
2483,6676,6413.0
197,4278,6369.0
242,5487,6332.0
311,6809,6318.0
2212,40254,6274.0
1758,20481,6253.0
1680,1886,6229.0
2272,4493,6225.0
2598,7407,6208.0
1505,139825,6175.0
